uid,datetime,latitude,longitude,hour,day_of_week,month,cluster,high_risk_area
1,2018-01-01 00:25:46,-1.18884981099406,36.93138243675121,0,0,1,3,0
2,2018-01-01 02:02:39,-0.662938762534417,37.20873000399229,2,0,1,1,0
3,2018-01-01 02:31:49,-0.662938762534417,37.20873000399229,2,0,1,1,0
4,2018-01-01 03:04:01,-1.28808711064054,36.826583403307296,3,0,1,0,1
5,2018-01-01 03:58:49,-1.18884981099406,36.93138243675121,3,0,1,3,0
6,2018-01-01 04:04:09,-0.662938762534417,37.20873000399229,4,0,1,1,0
7,2018-01-01 05:31:17,-1.16522821102464,36.960007703423706,5,0,1,3,0
8,2018-01-01 07:57:56,-1.30130261058807,36.820903303292,7,0,1,0,1
9,2018-01-01 09:57:27,-1.13463971131295,36.8482196034995,9,0,1,3,0
10,2018-01-01 10:48:59,-1.11720711118115,37.00827840347071,10,0,1,3,0
11,2018-01-01 11:23:14,-1.2825470106648,36.82723370331429,11,0,1,0,1
12,2018-01-01 11:32:24,-1.2722614207103602,36.8281065733273,11,0,1,0,1
13,2018-01-01 14:34:07,-1.6050616087800402,37.1669184027834,14,0,1,4,1
14,2018-01-02 05:13:31,-1.3106566576446002,36.8054806097211,5,1,1,0,1
15,2018-01-02 05:28:15,-1.1888414109544598,36.9313708034022,5,1,1,3,0
16,2018-01-02 07:23:44,-1.26433113609309,36.7469843524426,7,1,1,0,1
17,2018-01-02 07:25:06,-1.26426660944345,36.74698523415729,7,1,1,0,1
18,2018-01-02 07:34:35,-1.32983701041026,36.855809503272,7,1,1,4,1
19,2018-01-02 07:34:54,-1.26433113609309,36.7469843524426,7,1,1,0,1
20,2018-01-02 07:37:25,-1.2641316290306,36.7542528847116,7,1,1,0,1
21,2018-01-02 07:38:40,-1.26433113609309,36.7469843524426,7,1,1,0,1
22,2018-01-02 07:41:50,-1.2641003775103898,36.75425230336489,7,1,1,0,1
23,2018-01-02 07:54:53,-1.26433113609309,36.7469843524426,7,1,1,0,1
24,2018-01-02 08:25:13,-1.26433113609309,36.7469843524426,8,1,1,0,1
25,2018-01-02 09:36:32,-1.1672840111931202,36.8253830034644,9,1,1,3,0
26,2018-01-02 10:14:37,-1.48464840935047,37.1370319029494,10,1,1,4,1
27,2018-01-02 11:40:51,-0.7833300126180859,37.1000000038811,11,1,1,1,0
28,2018-01-02 11:43:40,-1.11907251168763,36.6184080035925,11,1,1,0,1
29,2018-01-02 12:53:00,-1.28708381065599,36.81826470331129,12,1,1,0,1
30,2018-01-02 12:54:35,-1.3285224027756002,36.8807800190644,12,1,1,4,1
31,2018-01-02 13:14:14,-1.29228787431091,36.8423884423268,13,1,1,0,1
32,2018-01-02 13:16:07,-1.32834076242482,36.8811599103441,13,1,1,4,1
33,2018-01-02 13:54:06,-1.3261974102945,36.8811002705848,13,1,1,4,1
34,2018-01-02 14:10:58,-1.48313562213472,37.0482844716554,14,1,1,4,1
35,2018-01-02 14:17:01,-1.1706894109834198,36.9722933034125,14,1,1,3,0
36,2018-01-02 14:41:44,-1.3261974102945,36.8811002705848,14,1,1,4,1
37,2018-01-02 15:00:34,-1.3261974102945,36.8811002705848,15,1,1,4,1
38,2018-01-02 15:03:19,-1.32815651050347,36.8707640046704,15,1,1,4,1
39,2018-01-02 15:39:32,-1.48464840935047,37.1370319029494,15,1,1,4,1
40,2018-01-02 16:55:16,-1.2623680106860902,36.8790866699941,16,1,1,3,0
41,2018-01-03 00:46:33,-1.46107358539872,36.9639318060297,0,2,1,4,1
42,2018-01-03 01:58:56,-1.2846493773566598,36.820902236634296,1,2,1,0,1
43,2018-01-03 02:19:21,-1.28470480968288,36.8209035879631,2,2,1,0,1
44,2018-01-03 02:19:59,-1.27306111238582,36.8129184019364,2,2,1,0,1
45,2018-01-03 02:22:36,-1.28478393683051,36.820374185281,2,2,1,0,1
